,PersonId,Start_time,End_time,Total_time
86,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:24:55.300000000,0 days 01:24:58.000000000,0 days 00:00:02.700000000
87,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:25:27.121666000,0 days 01:25:48.976666000,0 days 00:00:21.855000000
88,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:26:06.701666000,0 days 01:26:11.410000000,0 days 00:00:04.708334000
89,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:26:30.308333000,0 days 01:26:37.066666000,0 days 00:00:06.758333000
90,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:27:06.971666000,0 days 01:27:13.300000000,0 days 00:00:06.328334000
91,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:28:26.130000000,0 days 01:28:48.906666000,0 days 00:00:22.776666000
92,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:29:02.921666000,0 days 01:29:14.848333000,0 days 00:00:11.926667000
93,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:29:56.056666000,0 days 01:30:14.400000000,0 days 00:00:18.343334000
94,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:30:30.508333000,0 days 01:31:05.668333000,0 days 00:00:35.160000000
95,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:31:18.723333000,0 days 01:31:23.601666000,0 days 00:00:04.878333000
96,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:31:36.320000000,0 days 01:31:38.951666000,0 days 00:00:02.631666000
97,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:32:00.138333000,0 days 01:32:43.848333000,0 days 00:00:43.710000000
98,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:32:58.400000000,0 days 01:33:18.000000000,0 days 00:00:19.600000000
99,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:33:28.143333000,0 days 01:34:11.000000000,0 days 00:00:42.856667000
100,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:34:24.900000000,0 days 01:34:44.678333000,0 days 00:00:19.778333000
101,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:35:05.950000000,0 days 01:36:42.503333000,0 days 00:01:36.553333000
102,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:37:48.696666000,0 days 01:37:52.360000000,0 days 00:00:03.663334000
103,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:38:37.328333000,0 days 01:38:40.496666000,0 days 00:00:03.168333000
104,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:39:58.900000000,0 days 01:40:06.620000000,0 days 00:00:07.720000000
105,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:40:19.263333000,0 days 01:40:20.550000000,0 days 00:00:01.286667000
106,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:40:31.231666000,0 days 01:40:44.911666000,0 days 00:00:13.680000000
107,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:40:55.048333000,0 days 01:40:55.300000000,0 days 00:00:00.251667000
108,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:41:06.890000000,0 days 01:41:52.900000000,0 days 00:00:46.010000000
109,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:42:10.748333000,0 days 01:42:22.551666000,0 days 00:00:11.803333000
110,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:42:33.563333000,0 days 01:42:44.616666000,0 days 00:00:11.053333000
111,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:43:00.006666000,0 days 01:43:42.256666000,0 days 00:00:42.250000000
112,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:43:53.728333000,0 days 01:43:55.850000000,0 days 00:00:02.121667000
113,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:44:39.023333000,0 days 01:44:49.200000000,0 days 00:00:10.176667000
114,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:46:02.230000000,0 days 01:46:04.060000000,0 days 00:00:01.830000000
115,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:46:14.951666000,0 days 01:46:22.791666000,0 days 00:00:07.840000000
116,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:46:58.953333000,0 days 01:47:05.250000000,0 days 00:00:06.296667000
117,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:48:39.053333000,0 days 01:48:40.596666000,0 days 00:00:01.543333000
118,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:48:51.941666000,0 days 01:49:02.910000000,0 days 00:00:10.968334000
119,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:49:19.700000000,0 days 01:50:17.193333000,0 days 00:00:57.493333000
120,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:50:35.040000000,0 days 01:50:55.231666000,0 days 00:00:20.191666000
121,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:51:58.961666000,0 days 01:52:17.350000000,0 days 00:00:18.388334000
122,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:53:27.300000000,0 days 01:53:46.526666000,0 days 00:00:19.226666000
123,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:54:25.520000000,0 days 01:54:36.900000000,0 days 00:00:11.380000000
124,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:56:37.156666000,0 days 01:56:46.998333000,0 days 00:00:09.841667000
125,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:57:46.893333000,0 days 01:58:14.080000000,0 days 00:00:27.186667000
126,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:58:29.936666000,0 days 01:58:46.201666000,0 days 00:00:16.265000000
127,95d5cdef-3860-4bf7-b6fa-059555bb4cbe,0 days 01:59:31.410000000,0 days 01:59:37.200000000,0 days 00:00:05.790000000
